"","date","company","country","city","role","current_or_former","employment_status","employment_length","recommend","outlook","approve_ceo","score_overall","score_career_opp","score_comp_and_benefits","score_culture_and_values","score_senior_mgmt","score_work_life_balance","pros","cons","advice_to_management"
"11",2019-03-05,"Euromonitor","India","Bengaluru "," BDE","Former  ","Full-time","Less than a year","No","Negative","Neutral",1,1,4,1,1,2,"Nothing much
Office location
cafeteria on 15th
good view
salary","Everything
Poor management
poor sales leaders
no knowledge of outside research
call centre approach","Listen to the team, ensure managers have brains"
"12",2019-01-23,"Euromonitor","Brazil","São Paulo, São Paulo "," Business Development","Current  ","Full-time","More than a year","Yes","Positive","Neutral",4,3,3,5,4,4,"Great working environment at the local office, company incentives those who reach the target and its fairly good with work-life balance. Some of its products allow to reach non-usual clients","For some business segments, the main product is often seen as nice to have. The company positions itself as a consultancy but treat the sales process as transactional. It seems it has reached its potential market size and need to review its strategy and products. It lacks organization regarding global and regional accounts resulting in less sales and benefiting just a few people.",NA
"13",2019-01-17,"Euromonitor","India","Bengaluru "," Anonymous ","Former  ","Full-time",NA,"Yes","Positive","Yes",5,5,4,5,5,5,"Euromonitor India is still in a nascent stage, but the base on which it stands is very strong! It is a place for learning and delivering. The pros for Bengaluru office are:

1. Wonderful country manager- who is always smiling and will individually interact with all the employees, whenever he has time.
2. HR department- The department is always helping us out with anything, related to the employees. They are …  both caring and strict in terms of the manual of policies laid down by Euromonitor.
3. Growing firm: The company is growing. This growth is not expected to be short-lived but a long one.
4. Learning opportunities: If you want to learn something, be it visualization tools, advanced excel, report writing, etc., this is the place to be. The managers and seniors are well-equipped to build the learning environment required to sustain an individual's growth.
5. Senior leaders from outside India: They will come and will mingle with you all the time, from playing football to parties. You won't feel once that the person has 20 years of work-experience and is 5-6 levels above you. Interacting with them is enthralling.
6. Fun environment- The environment was really good most of the times, where you could enjoy yourself.
7. Top peers: All your peers are hand-picked and scrutinized after number of rounds of interview, you will understand that by working with them. Everyone will bring something on the table.Show More","This is the really hard part. We need to understand the following points happen almost everywhere and since the company is growing in Bengaluru, it will surely overcome the deficiencies:

1. Vision for employees: sometimes there is a lack of mention of what personal career trajectory we would be on in the future. This will be addressed, I am sure in the future, as the top management has taken note of it.
2. …  Small level bias: There are little bias between few team members, which needs to be cut at the nascent stage. Although, I can assure you this is not as prominent as in some other organization. Its just few people have stayed together for too long and they feel that their growth was related to those people, hence there is a strong bond between them, which at some time can come in between meritocracy or fair treatment.
3. Nothing else- It is an awesome place to work!Show More","These are my personal suggestions:

1. Lay down a plan for an employee progress uniformly in front of the entire workforce. It shouldn't be verbal! It should be consistent across time and people.
2. Money is important for us! We need that to be considered in our progress. The current starting salary is quite competitive but we need to be clear how the organization will improve on those based on our …  performance.

3. To the top management in Europe: The current country manager is awesome, you guys please support him as much as possible, so that India office grows manifold times.Show More"
"14",2019-01-18,"Euromonitor",NA,NA," Anonymous ","Former  ","Full-time",NA,"Yes","Neutral","Yes",4,2,4,5,2,5,"The sales and commission structure is good within the company and they produce a good product. Work life balance is good as well and you work with interesting people.","There is very limited career growth opportunities below management. Very few spots open because none of the senior directors leave as they are all overpaid and would get found out at other companies.","Create more career progression openings and fire some dead weight in top management to promote others based on merit"
"15",2019-01-12,"Euromonitor",NA,NA," Anonymous ","Current  ","Full-time",NA,"Yes","Positive","Yes",4,3,2,3,3,4,"Good work life balance enforced.","Not as much support from head office.",NA
"16",2019-02-11,"Euromonitor","US","Chicago, IL "," Sales","Former  ","Full-time","More than a year","No","Negative","No",1,1,3,1,1,3,"Flexible working hours, ability to work remote if needed, PTO.","Everything else. The management team is HORRIBLE. They have been too long in the company and they only care about showing off with great ideas to the executive level to look good when in reality everybody else (who is actually doing the job!) is unhappy and frustrated. Targets are way to high and unachievable. Product is ok. Sales cycle is way too long and draining. Mentorship is inexistent. I could spend a whole …  day talking about cons, but it is not worth it. Just don't waste your time.Show More","Wake up and ask your employees how they truly feel and do something to change it if needed. Reduce the target. With the existing target you just make your employees frustrated. Hire true leaders that genuinely care about their team and not about showing off to the CEO in London."
"17",2019-02-05,"Euromonitor","US","Chicago, IL "," Key Account Manager","Former  ","Full-time","More than 3 years","No","Negative","No",1,1,1,1,1,3,"PTO is great (3 weeks). Flexible arrival/departure times. Beautiful new office. Work life balance is good.","Most of the management team have never worked anywhere else and are stuck in a mind set that worked for this company 5 years ago. Management is very rigid about arbitrary things and not focused on implementing changes that would make a difference. For example they are still counting calls for all of their sales teams; in a world where most business is done via email.

The pay is very low for the amount of work …  required to keep up with customer demands.

Their core product of syndicated data refreshed once per year is getting tired for most customers, particularly at a price that increases every year.

Opportunity for career growth is nonexistent.Show More","There needs to be some upper management hired with outside experience.
Worry less about arbitrary metrics and focus on initiatives that will help your sales teams succeed."
"18",2019-01-24,"Euromonitor",NA,NA," Tech Lead","Current  ","Full-time","More than a year","No","Negative","No",1,1,1,2,1,2,"Friendly people & Open Culture","No sense of direction.
No Leadership at all.
Polluted Top Management
Directors have no vision
Ridiculous Appointments to important positions","Sell out or close up"
"19",2018-12-11,"Euromonitor","UK","London, England "," Anonymous ","Former  ","Full-time","More than 8 years","Yes","Neutral","Yes",4,2,3,5,4,5,"work life balance
friendly culture
well regarded premium products
good client list","outdated and slow research methods but moving towards tech dev
has become very corporate in process and structure as grown
less opportunity than in past","Continue to develop in line with our data companies that are heavily tech led.
Ensure that there are always growth opportunities for employees you want to keep"
"20",2019-01-12,"Euromonitor",NA,NA," Anonymous ","Former  ","Full-time",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"Good slide from ground floor to basement...please do not get the impression its google.
Some amazing individuals","Top management are scared of talented employees
Family culture with top management employees who have been here for 15 to 20 Years.
Top management do not like employees who challenge their views.
They have created a work culture where people do not work hard and are very mediocre
People from the Business do not understand 1 % of technology and end up making decision on product and technology
Poor …  quality of data on Passport Product.
No strategic vision on improving the product and no Proper Roadmap.
No one wants to listen to what the customers say and want. They think they are experts.
Industry Managers think they are domain experts...excuse me ...Is there a domain. Market share , Company Share and Brand Share on an Industry is not a domain.
Stop making unwanted UI changes on the product. 90% of Usage is data download ,So improve the quality of data.
I can go on and on ....but I leave it at this ,,,Show More","Bring a new CEO, A CEO is always crucial for improving the business and its time the company needs a fresh perspective. If a CEO is in a company for more than 5 years ...he has reached his comfort zone."
"21",2018-11-22,"Euromonitor",NA,NA," Anonymous ","Current  ","Full-time",NA,"Yes","Positive","Neutral",4,5,3,2,2,5,"Opportunity for growth
Good collaboration between departments
Works toward improving consistently","Lacks transparency
Inconsistent and immature practices
Highly hierarchical",NA
"22",2018-12-19,"Euromonitor","India","Bengaluru "," Anonymous ","Former  ","Full-time","More than a year","No","Neutral","Neutral",1,1,1,2,1,1,"Euromonitor is a very popular name in the market research world especially if you are in the field of consumer goods. They have amazing content, business relevant data points, user-friendly portal. Unfortunately, this company is just another example of all the glitters is the not gold.

Pros

1. If you are considering a career in research, Euromonitor can be a very good learning ground for you.

2. …  A good brand name to have on your CV.

3. The exposure you get will help you gain expertise early in your career.

4. Very interesting work.

5. Good support from the HR and administration. They are actually the most professional of the lot.

6. Their offices are usually in the state of the art buildings which have most of the facilities close by.Show More","1. Most managers like playing favorites. If you are someone who can always be at the beck and call of your manager even at your own inconvenience, you have better chances at growing. If you’re a flatterer, this is the place for you!

2. People (this includes most managers and most peers) judge too soon. If you were new to this job and took some time to learn, they’ve already written you off. The mistakes you …  made in the early months at your job will always be amplified and your victories (especially good feedback from the client) will be completely ignored.

3. Taking sick leaves is a sin. Taking more than 7 sick leaves is looked down upon. This not only difficult if you’re going through a medical crisis but also worse if you have to take care of people in your family.

4. Very poor pay and negligible bonus. Managers will usually give you most obnoxious reasons for not giving a hike. “Remember that mistake you made a year back?”

5. The work hours are crazy. If you put your foot down, you might be pulling off long hours at least 3 days a week.

6. They don’t have a good training system in place which is too bad, because they expect you to be a thorough professional from day 1.

7. Previous experience of people is almost discounted. People are not treated respectfully especially the senior ones.

8. Management likes to treat only those people well who try very hard to always stay visible. If you’re someone who likes to lay low, chances are you’ll be ignored. Out of sight, out of mind.

9. Some seniors managers are passive aggressive, you’ll never know when you’ve ticked them off and they might not even give you a chance to correct your mistake.

10. High attrition in the past years. Apart from the old folks, the most newbies don’t think it’s worth sticking it out here. Many people have quit within their first 2 years.Show More","Management needs to seriously get some perspective and preferably an attitude change.

Be a little more human towards those who have real issues.

It’s safe to say that despite being a good brand they’ll lose out on good talent because they really don’t know how to treat people well."
"23",2018-11-13,"Euromonitor","India","Bengaluru "," Anonymous ","Current  ","Full-time",NA,"Yes","Positive","Yes",4,4,4,4,4,5,"Been working with the latest Technologies including:
• .Net Core
• Latest versions of Angular
• Azure

Been follow best practices and architectural patterns including:
• Domain Driven Design
• Test Driven Development
• Micro Services
• etc.

Work-Life balance is encouraged by management.
Decisions needing to be made in technology stack are quick and supported by management.","Workload is quite high and can be fast paced.
The Local leadership team still need to work closer and share their strategy.",NA
"24",2018-12-18,"Euromonitor","Singapore","Singapore"," Senior Consultant","Current  ","Full-time","More than a year","Yes","Neutral","Yes",1,3,3,3,4,4,"Good brand to be associated with for Market Research and Consulting career.
Decent package offered.","Human Resource sucks big time. No response to employee concerns. They don't respond to candidates who have spend lot of time in the interview processes.

Employees benefits are mismanaged.","Please get the human resource team streamlined"
"25",2018-11-01,"Euromonitor","UK","London, England "," Research Analyst","Current  ","Full-time","More than a year","No","Negative","Yes",3,2,2,1,1,4,"- Fairly flexible working hours
- Possibility to occasionally work from home
- Lovely colleagues","- Every team's workload varies greatly, some are overwhelmed while others are bored to death
- Flexible working from home is available only twice a month, so no real value for commuters.
- 4 days a month working from home is available but the days are set and you can't move them
- Demands are high, but often management won't recognize the efforts, dragging out promotion process
- Often asking to do a lot …  more work outside ones pay grade, and refuse to acknowledge the fact that this is not normal
- Many micro-managers, who often demotivate their teams , no feeling of unity within the teams, managers act against you rather than for youShow More","Euromonitor wants to have great product, but often the feeling is that they do not want to invest in their employees. Staff rotation in unsurprisingly very high.
If you pay peanuts you get monkeys, no one will want to stay if their efforts are not recognized."
"26",2018-11-08,"Euromonitor","Lithuania","Vilnius "," Sales Executive","Former  ","Full-time","More than a year","Yes","Positive","Neutral",4,3,4,4,2,5,"One of the best hands-on schools for pro-active sales you can find, motivated colleagues, great atmosphere, lots of available internal trainings, interesting and innovative products and services. Lots of huge international clients to interact with.
Various incentives available for top performers.
Great work-life balance.","Poor management - the evaluation system changes quite often. The middle management knows that many of the evaluation criteria is not relevant, however, cannot do anything about it.
It is hard to qualitatively comply with requirements and everyone just fakes it. It seems that this way everyone is happy.",NA
"27",2018-11-29,"Euromonitor",NA,NA," Sales","Former  ","Full-time","More than 3 years","No","Negative","No",1,1,2,1,1,3,"They condone heavy drinking at company events and you can totally get away with being a drunken idiot (a positive if that's your thing).","They condone heavy drinking at company events and you can totally get away with being a drunken idiot, making the people who care about working in a real grown-up environment feel they are wasting their talents on a joke of a company.
That's just the beginning and not nearly as important as the fact that the work itself is shotty. Research methodology is a joke and clients are constantly calling in to tell us the …  data is wrong, because they are right. Analysts are definitely making up numbers a lot of the time, the sales people are embarrassed because they get called out, management is clueless for the most part, and the people at the top that can actually make a change are too comfortable making their high 6 figure incomes to actually open their mouths and do something about the insanity.
I saw many people break down and cry in the office, people are always being put on plans and getting fired, which is usual in sales, but not to that degree.
No corporate job is perfect, but once you leave and get a taste of something else, it really puts into perspective that EMI is a sinking ship. Get on a life raft as soon as you can and don't be one left on a floating piece of ice, you'll freeze to death.Show More","Read above, and take action. Stop turning a blind eye."
"28",2018-10-31,"Euromonitor","United Arab Emirates","Dubai "," Account Manager","Current  ","Full-time","Less than a year","Yes","Neutral","Yes",3,3,3,4,4,4,"The office is great and the people are super nice!","Low salaries and long sale cycles",NA
"29",2018-10-30,"Euromonitor","UK","London, England "," Account Manager","Former  ","Full-time","More than a year","Yes","Neutral","Neutral",3,2,3,3,2,5,"Great office location
Nice social scene
Flexi-hours
Relaxed dress code
Nice introductory training structure","Progression paths not clear
Product itself not granular enough - clients feedback
Middle management offering very little","Be proactive in promoting talent internally and focus on EMIs strengths (key industries) from a research standpoint to please clients in a competitive landscape."
"30",2018-12-03,"Euromonitor","US","Chicago, IL "," Anonymous ","Former  ","Full-time","More than 3 years","No","Neutral","Yes",2,1,1,2,2,4,"Coworkers become some of the best friends you have, company parties are always great. COO is very approachable.","Management doesn’t communicate changes to employees. The company also claims untrue statements about itself, it is not a start-up and it is not flexible. Work from home isn’t granted until you work for at least two years. They also mislead new employees with the promise of higher earnings than they will realistically make. Many employees leave when they realize this lie.","Communicate changes and the reasons behind those changes to your employees."
"31",2018-10-24,"Euromonitor",NA,NA," Anonymous ","Current  ","Full-time",NA,"Yes","Neutral","Yes",4,3,3,3,4,3,"Great team to work with!","Too management lacks leadership skills",NA
"32",2018-10-16,"Euromonitor","US","Chicago, IL "," Account Manager","Former  ","Full-time","More than a year","No","Neutral","Neutral",3,2,3,2,1,4,"The people you work with, the benefits, the flex hours, and the PTO offered","They’re constantly implementing changes they can’t execute properly, whether it be with structure or with the product. Cross functional communication is almost non-existent, so no team really knows what the other is up to. For sales, territories are often thin, making it difficult to hit target. They seem to encourage flying by the seat of your pants, which ends up feeling messy and unorganized since it leads to a …  level of ambiguity and lack of structure.Show More","This company needs a proper overhaul. Hiring management from the outside, training your managers properly, and listening to your employees are all things I would’ve liked to see. Also, stop micromanaging. Get out of your own way."
"33",2018-11-05,"Euromonitor",NA,NA," Anonymous ","Former  ","Full-time",NA,"No","Neutral","Neutral",2,1,3,2,2,4,"Great Work and Life Balance","Commission is too based on the quality of your accounts",NA
"34",2018-10-30,"Euromonitor","Singapore","Singapore"," Sales","Former  ","Full-time","More than 3 years","No","Neutral","Neutral",2,2,3,1,1,4,"1. Good work life balance
2. Colleagues are very nice generally
3. Starting to have career path for the core functions, like Sales, Consulting and Research
4. Base salary is competitive
5. Decent benefits for a small office of less than 100","1. If you are hungry for success, go elsewhere. Though there is a career path, most of the top jobs are in London or Chicago. There is a limit of how far you can grow unless you are willing to relocate.
2. The leadership doesn't respect the local culture by ""helicopter in"" managers from other offices and run Singapore office thinking that we should be like ""the office they came from"".
3. A disempowering …  environment for managers. As an individual contributor, you can still make some decisions IF you have a supportive manager. Ironically, when you are a manager, everything has to be decided by everyone else but you. The lack of structure and segregation of duty is appalling! Processes tend to be very ambiguous and confusing when you are new.
4. Even though the starting salary is competitive, the annual increment for a top performer is a nominal difference with average performers. The variable bonus is almost non-existence for a non-sales person. It is standard across the board. Not much of motivation for people to strive and you will feel like you slowly transform into one of the lemmings. And, it is frustrating to work with people who are not performance driven.
5. The business change is not well orchestrated, or the management just plainly poor in communicating changes. So, any changes for specific departments you will only hear it from your colleagues in another department after the event.
6. The management doesn't believe in external training AT ALL. At times, it is the blind leading the blind during the in-house training programs. The trainers are the colleagues within the division. It is not that they are not competent; it is just that not everyone can be a good teacher (or they are not trained to be one). More so, when the training is not from the accredited source.Show More","Please tell your VP to stop saying that we have world-class training programs. There is a difference between being the best and being in denial."
"35",2018-11-15,"Euromonitor","Singapore","Singapore"," Research","Current  ","Full-time","More than a year","No","Negative","No",1,2,1,1,1,3,"Generally nice and intelligent colleagues
- Colleagues are generally friendly and willing to help each other out, and I've managed to form a few genuine friendships within my time here thus far. In terms of politics (at least within my department), it is considered rather mild when you benchmark it against other companies who have individuals constantly at each other's throats
- Euromonitor, with its solid …  branding, has managed to consistently attract intelligent individuals (sadly, unable to keep any of the good ones for long) and it has been quite an enriching experience working with a selected bunch

Somewhat ""okay"" work-life balance
- Time in and out is flexible, and management is generally lax about the amount of hours you clock in on a daily basis as long as you get your work done
- However, there are times when the workload starts piling up and you get ZERO support from upper management + astounding ICAs to boot
- Have seen individuals from other departments pull very long hours from being overworked and understaffedShow More","- Almost everything about this company

To name a few:
APPALLING senior management
- There is a lot of talk of putting change into place, and too often were meetings held internally to have nothing concrete come out of it. By the time some form of change was attempted, countless number of people were extremely unhappy and have decided to take the high road out of here
- Have seen on many occasions …  where management has been lazy, pushing their responsibility to junior positions to make their personal jobs easier. Doesn't set a good example, especially to the newer employees

Poor synergy between departments
- Departments generally do not gel well with each other, and there are several occasions where animosity is developed from colleagues feeding each other incorrect information just to take the easy and convenient way out
- Doesn't feel like colleagues are generally supportive of each other's growth in the company, keeping closely to their own KPIs

Cold and unmotivated culture
- Colleagues generally look lifeless coming into work, and I've rarely witnessed anyone genuinely upbeat or happy in a span of more than a year
- Office can be dead quiet at times
- General vibe is that this company attracts largely unmotivated (except for a rare few) people

Questionable data
- With the current methodology employed and remains core to the company, the data gathered remains highly questionable and to a large extent, highly unreliable

Uncompetitive salary
- In today's day and age, the compensation + benefits provided by the company is severely lacking

Turnover Rate
- Turnover rate is CRAZY, retention rate is barely over 60% and it says a lot about how much people value their time in this company
- There are tons of better companies out there, the only saving grace (and reason many have chose to stay) is the brand name (Which will go downhill soon if the methodology is not improved)
- When you constantly see people leaving, it is difficult to stay motivated when there are more leavers than joiners. This also causes a lot of disruption in terms of work management, affecting report qualityShow More","- People are genuinely unhappy here due to many reasons, and if this is not fixed as soon as possible, be prepared to continue losing genuine talent

- Methodology needs to adapt with shifting times, and find more efficient and reliable ways to gather data (Current method is very old school)"
"36",2018-11-15,"Euromonitor","UK","London, England "," Sales","Current  ","Full-time","More than 5 years","No","Neutral","Neutral",1,1,1,1,1,5,"flex hours, team members (could not come up to 5 words...just did)","unqualified management who look after each others' back in a poor self-preservation attempt.

the entire business being run by 3 dinosaurs who've escaped extinction but keep on going about their old school methods.

no career progression - they keep creating additional layers to distance the self-named 'elite' from the rest.","start blaming those managers who never hit target (provided you can spot them turning up in the office) rather than 90% of staff who does not have a realistic chance of hitting more than 70%.

reward those who are capable rather than the yes-man crowd.

stop micro managing, send your managers to external courses if you have to or even better, replace them entirely. you won't notice they are …  gone.

managers cannot use CRMs so rely on repetitive meeting sessions to discuss/understand progressShow More"
"37",2018-10-17,"Euromonitor",NA,NA," Anonymous ","Former  ","Full-time",NA,"Yes",NA,"Yes",4,4,3,4,4,4,"Good internal growth, great learning curve","Tight deadlines, disparity in Indian salaries as compared to other offices",NA
"38",2018-11-03,"Euromonitor","UK","London, England "," Senior Business Development Manager","Current  ","Full-time","More than 3 years","No","Neutral","Neutral",1,1,2,3,1,5,"Flexible working hours
Relaxed dress code
Friendly staff","Incompetent management that have been entrenched over 20+ years (they are not going anywhere and nothing is changing).

Stupid initiatives that always add more work and lead to less revenue for salesreps.

Staff turnover is obviously very high - but they never want to talk about that since all that matters is they kpis - which funnily enough seem to matter more to them than their revenue …  targets.

One directional decision making from the top with constant roll out of increasingly pointless initiatives that do not improve the bottom line or help staff.

It's never managements fault - its the sales reps. No accountability and if you could see how how management coast you'd tear your hair out (constant half days, wondering around doing nothing all day and having meetings for the sake of having meetings to tick their kpi box and show they've done their job).

Promotion process is a joke - peanut pay rises and they actually have a board of senior management who have no visibility on your day to day attitude or performance but sit around looking at how many contacts you've added (really) and use this as an excuse to justify why they can't promote you.

Terrible commission if you don't hit target - and considering 5-7% hit target a year the odds are not in your favour.Show More","Stop hiring experienced salespeople and telling them they are intelligent and great and then constantly try to teach them too suck eggs. Having been at the company for donkeys years they will still ask ""so have you spoken to Finance?"" - Really? That's your input?

Entire Middle Management are time wasters who coast and senior vp's are a bunch has-beens who sold when their was no competition and are too caught …  up in their processes they can't see the wood from the trees.

Bottom line: Drop the dead wood, hold management accountable and stop wasting everyone's time with your shambolic time wasting meetings.Show More"
"39",2018-11-02,"Euromonitor","UK","London, England "," Anonymous ","Current  ","Full-time","More than 8 years","No","Negative","No",1,1,1,NA,1,NA,"A reasonable location in central London","- This company is now a completely different business to just a couple of years ago becoming extremely corporate in the process.
- The nice environment and friendly culture have all gone. People with real expertise and talent are increasingly being pushed out while more and more poorly paid graduates are hired.
- Sadly, the office environment is quite toxic, and the overall atmosphere is rather tense making it …  a depressing place to work.Show More",NA
"40",2018-10-16,"Euromonitor","US","Chicago, IL "," Sales","Former  ","Full-time","More than a year","No","Negative","Neutral",2,2,2,2,2,4,"Exposure to wide variety of industries, big name clients, good work life balance, sales training is well done.","Extremely long sales cycle combined with unreasonable expectations leads to poor performance indicators and resulting difficulties. Sink or swim environment with little support from managers or colleagues. Disgruntled sales teams across the board flailing to figure out how to grow.","Lower targets years 1 through 2 to instill confidence, enjoyment, and financial remuneration in younger sales reps. This will create more loyalty, positive/can do attitude, and better service to clients if you are actually able to keep people around. Don't worry about covering more countries and focus on improving data in major markets."
"41",2018-10-16,"Euromonitor",NA,NA," Anonymous ","Former  ","Full-time",NA,"No","Negative","Neutral",2,2,3,3,1,4,"Flexi Hours
Good appointment/doctors visit allowances
Very stable
Friendly
Good corporate responsibility","Low salary
very very hard product to sell
Limited marketing investment
Lacklustre management
Overall stale strategy
office location is horrible
No work from home options
Limited business strategy
clunky and poor software
No movement opportunities",NA
"42",2018-09-22,"Euromonitor","India","Bengaluru "," Anonymous ","Current  ","Full-time","More than 3 years","Yes","Positive","Yes",4,3,3,4,4,4,"• Their salary packages and other benefits are on par with market standards and still their management always keep improving them by reviewing regularly every year.

• Their HR department and CSR team spends a great lot of effort to engage with every employee, hear their needs and put different innovative plans of growth. The CSR team does a lot of charity activity apart from HR team engaging with employees by …  many office events and parties.

• Their local leadership team (BLT team) and Country Manager is an awesome combination of great personalities, they take unique interests to engage with every member of office. Their Country Manager takes special interest to welcome each and every member of the office by having a breakfast with cool conversations. They are very collaborative and always happy to help any employee for their growth and success.Show More","employee benefits could improve more","explore a practice of yearly review"
"43",2018-10-03,"Euromonitor",NA,NA," Anonymous ","Current  ","Part-time",NA,"No","Neutral","Neutral",2,2,2,2,1,3,"Decent training for part time employees","They hire interns to do time consuming tasks rather than to find talents",NA
"44",2018-10-19,"Euromonitor","India","Bengaluru "," Software Developer","Current  ","Full-time","More than 3 years","No","Negative","Neutral",1,1,3,1,1,4,"If you don’t want to learn or work then this is company for you. You can just chill out even if the application in production is down no one seems to care.
You can leave the company when do you so you can spread a lot of negativity around the table and you can join back in few months they will welcome you with open arms.","Nothing to learn. Contrary you will loose your skills.
Very very poor technical leadership.
No direction.
Not a place for people who have ethics.
The less you work and more time you spend on fooling management the better chance you have to be promoted.","It don’t really matter"
"45",2018-09-14,"Euromonitor","India","Bangalore Rural "," Software Developer","Current  ","Full-time","More than 3 years","Yes","Neutral","Yes",4,4,3,4,3,4,"1) Good company to work with .
2) Lot of good technologies play with in the world of .net and JavaScript.
3) Supporting and challenging colleagues from junior to lead , who help you to grow .
4) Chilled out work place.
5) Good work culture and work life balance.
6) Office is in WTC Building next to mall so after office we don't have to think too much where to go.
7) Good supporting HR.
8) Good …  opportunity to grow with in the organization, but only pays off if equal effort is put in.Show More","There are few cons which every company will have, but can live with it .",NA
"46",2018-09-10,"Euromonitor",NA,NA," Anonymous ","Current  ","Full-time","More than a year","Yes","Neutral","Yes",4,3,4,5,5,5,"Great people
Good entry salary
Work often interesting","New structure is too focussed on admin so simple things take ages
Salary starts being inadequate from the first promotion
The work can be monotonous","Give employees more freedom and increase salaries"
